id,centre,number,primary,type,country,source,person
,C#44000001,1254701700,TRUE,lan,GB,OFSTED,
,C#44000002,01254 705151,TRUE,lan,GB,OFSTED,
,C#44000003,1254701534,TRUE,lan,GB,OFSTED,
,C#44000004,01254 704 004,TRUE,lan,GB,OFSTED,
,C#44000005,7446044934,TRUE,mob,GB,OFSTED,
,C#44000006,1254771717,TRUE,lan,GB,OFSTED,
,C#44000007,7966224968,TRUE,mob,GB,OFSTED,
,C#44000008,1282479835,TRUE,lan,GB,OFSTED,
,C#44000009,7715590138,TRUE,mob,GB,OFSTED,
,C#44000010,01254 873738,TRUE,lan,GB,OFSTED,
,C#44000011,01254 702 013,TRUE,lan,GB,OFSTED,
,C#44000012,1254701940,TRUE,lan,GB,OFSTED,
,C#44000013,1706228368,TRUE,lan,GB,OFSTED,
,C#44000014,01706 211 422,TRUE,lan,GB,OFSTED,
,C#44000015,7927042802,TRUE,mob,GB,OFSTED,
,C#44000016,01706 213 756,TRUE,lan,GB,OFSTED,
,C#44000017,1706214134,TRUE,lan,GB,OFSTED,
,C#44000018,1706214162,TRUE,lan,GB,OFSTED,
,C#44000019,1706214162,TRUE,lan,GB,OFSTED,
,C#44000020,01706 393433,TRUE,lan,GB,OFSTED,
,C#44000021,01706 230116,TRUE,lan,GB,OFSTED,
,C#44000022,01254 701700,TRUE,lan,GB,OFSTED,
,C#44000023,01706 222788,TRUE,lan,GB,OFSTED,
,C#44000024,01706 217323,TRUE,lan,GB,OFSTED,
,C#44000025,01706 229 153,TRUE,lan,GB,OFSTED,
,C#44000026,1706210660,TRUE,lan,GB,OFSTED,
,C#44000027,1706214640,TRUE,lan,GB,OFSTED,
,C#44000028,7729946501,TRUE,mob,GB,OFSTED,
,C#44000029,1706830671,TRUE,lan,GB,OFSTED,
,C#44000030,1706213303,TRUE,lan,GB,OFSTED,
,C#44000031,1706213303,TRUE,lan,GB,OFSTED,
,C#44000032,1706228664,TRUE,lan,GB,OFSTED,
,C#44000033,01706 559400,TRUE,lan,GB,OFSTED,
,C#44000034,7749174504,TRUE,mob,GB,OFSTED,
,C#44000035,1706508791,TRUE,lan,GB,OFSTED,
,C#44000036,01200 425269,TRUE,lan,GB,OFSTED,
,C#44000037,01706 231848,TRUE,lan,GB,OFSTED,
,C#44000038,1706507167,TRUE,lan,GB,OFSTED,
,C#44000039,01706 507169,TRUE,lan,GB,OFSTED,
,C#44000040,01706 216763,TRUE,lan,GB,OFSTED,
,C#44000041,1706214081,TRUE,lan,GB,OFSTED,
,C#44000042,01706 220805,TRUE,lan,GB,OFSTED,
,C#44000043,01254 238600,TRUE,lan,GB,OFSTED,
,C#44000044,7414800038,TRUE,mob,GB,OFSTED,
,C#44000045,1254231589,TRUE,lan,GB,OFSTED,
,C#44000046,1254234924,TRUE,lan,GB,OFSTED,
,C#44000047,1254399488,TRUE,lan,GB,OFSTED,
,C#44000048,01254 879387,TRUE,lan,GB,OFSTED,
,C#44000049,7974366927,TRUE,mob,GB,OFSTED,
,C#44000050,01254 390 107,TRUE,lan,GB,OFSTED,
,C#44000051,1254471161,TRUE,lan,GB,OFSTED,
,C#44000052,01254 232393,TRUE,lan,GB,OFSTED,
,C#44000053,1254233171,TRUE,lan,GB,OFSTED,
,C#44000054,1254234284,TRUE,lan,GB,OFSTED,
,C#44000055,01254 234284,TRUE,lan,GB,OFSTED,
,C#44000056,01282 479 835,TRUE,lan,GB,OFSTED,
,C#44000057,7734883955,TRUE,mob,GB,OFSTED,
,C#44000058,01254 879990,TRUE,lan,GB,OFSTED,
,C#44000059,1254231725,TRUE,lan,GB,OFSTED,
,C#44000060,1706240070,TRUE,lan,GB,OFSTED,
,C#44000062,1254233312,TRUE,lan,GB,OFSTED,
,C#44000063,01254 231 279,TRUE,lan,GB,OFSTED,
,C#44000064,1254782530,TRUE,lan,GB,OFSTED,
,C#44000065,7791797321,TRUE,mob,GB,OFSTED,
,C#44000066,7767134144,TRUE,mob,GB,OFSTED,
,C#44000067,1282686670,TRUE,lan,GB,OFSTED,
,C#44000068,1254233382,TRUE,lan,GB,OFSTED,
,C#44000069,7962016378,TRUE,mob,GB,OFSTED,
,C#44000070,1254235772,TRUE,lan,GB,OFSTED,
,C#44000071,01254 383294,TRUE,lan,GB,OFSTED,
,C#44000072,01254 357988,TRUE,lan,GB,OFSTED,
,C#44000073,1254384144,TRUE,lan,GB,OFSTED,
,C#44000074,01254 386388,TRUE,lan,GB,OFSTED,
,C#44000075,1254232046,TRUE,lan,GB,OFSTED,
,C#44000076,7872482838,TRUE,mob,GB,OFSTED,
,C#44000077,7713499277,TRUE,mob,GB,OFSTED,
,C#44000078,7890538088,TRUE,mob,GB,OFSTED,
,C#44000079,01282 479 835,TRUE,lan,GB,OFSTED,
,C#44000080,01254 301524,TRUE,lan,GB,OFSTED,
,C#44000081,7890538088,TRUE,mob,GB,OFSTED,
,C#44000082,01254 399266,TRUE,lan,GB,OFSTED,
,C#44000083,01254 427387,TRUE,lan,GB,OFSTED,
,C#44000084,1254233369,TRUE,lan,GB,OFSTED,
,C#44000085,07523 205650,TRUE,mob,GB,OFSTED,
,C#44000086,01254 233547,TRUE,lan,GB,OFSTED,
,C#44000087,1254877877,TRUE,lan,GB,OFSTED,
,C#44000088,01254 882 777,TRUE,lan,GB,OFSTED,
,C#44000089,1254880810,TRUE,lan,GB,OFSTED,
,C#44000090,01254 884 533,TRUE,lan,GB,OFSTED,
,C#44000091,01254 603483,TRUE,lan,GB,OFSTED,
,C#44000092,01254 887 353,TRUE,lan,GB,OFSTED,
,C#44000093,07894 568064,TRUE,mob,GB,OFSTED,
,C#44000094,1254884534,TRUE,lan,GB,OFSTED,
,C#44000095,01254 829 476,TRUE,lan,GB,OFSTED,
,C#44000096,01254 888141,TRUE,lan,GB,OFSTED,
,C#44000097,7885233326,TRUE,mob,GB,OFSTED,
,C#44000098,01254 240 059,TRUE,lan,GB,OFSTED,
,C#44000099,07712 555324,TRUE,mob,GB,OFSTED,
